,job title,company,location,country,job_type_list,workplace,career_level,url
411,English Teacher,Confidential,6th of October Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/YQJ4qcMdCZ5U-English-Teacher-Giza-Egypt
412,General Accountant,Naguib Selim,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/0iWJPRyvMCK1-General-Accountant-Naguib-Selim-Cairo-Egypt
413,Assistant Brand Manager,Confidential,Heliopolis Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/ovPxyrT28L2A-Assistant-Brand-Manager-Cairo-Egypt
414,Talent Acquisition Specialist,Shiny White Dental Center,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/X15ZyytPwfpi-Talent-Acquisition-Specialist-Shiny-White-Dental-Center-Cairo-Egypt
415,Area Manager,Naguib Selim,Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/g8yJ8fa8Xacw-Area-Manager-Naguib-Selim-Cairo-Egypt
416,Procurement team leader,Capital Link Developments,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/rLpSdKRRwuIk-Procurement-team-leader-Capital-Link-Developments-Cairo-Egypt
417,Indoor Sales Representative - Females Only,مراتب يانسن,Mokattam Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/bABunhYVvTY3-Indoor-Sales-Representative---Females-Only-%D9%85%D8%B1%D8%A7%D8%AA%D8%A8-%D9%8A%D8%A7%D9%86%D8%B3%D9%86-Cairo-Egypt
418,Enterprise Architect,Nile University,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/HJua4szUBXNm-Enterprise-Architect-Nile-University-Giza-Egypt
419,Corporate Sales Specialist,Bakier,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/7USZx5hFOCj7-Corporate-Sales-Specialist-Bakier-Cairo-Egypt
420,Senior IT Specialist,Femex Egypt,Sheraton Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/axqyYUzMoTn1-Senior-IT-Specialist-Femex-Egypt-Cairo-Egypt
421,Market Research Analyst,Expolink,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/VOH18WbDyeLA-Market-Research-Analyst-Expolink-Cairo-Egypt
422,Electrical Maintenance Engineer.,Confidential,6th of October Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/oaMJz3CgDAUe-Electrical-Maintenance-Engineer-Giza-Egypt
423,Business Development Executive (Media Agency ),Up Media,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/YurMDAusHCRR-Business-Development-Executive-Media-Agency-Up-Media-Cairo-Egypt
424,Pricing Analyst – Actuarial,Chubb life Insurance,Katameya Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/RPnXU4DcgLrp-Pricing-Analyst-%E2%80%93-Actuarial-Chubb-life-Insurance-Cairo-Egypt
425,Account Manager,Up Media,Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/e5FCmxaBr9f6-Account-Manager-Up-Media-Cairo-Egypt
426,Project Manager,Rowad Modern Engineering,Wadi Alnatrun Beheira,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/siRi9jJBBYXk-Project-Manager-Rowad-Modern-Engineering-Beheira-Egypt
427,Nursing Clinical Instructor,Shifa Egypt,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Crdnc27PwLrM-Nursing-Clinical-Instructor-Shifa-Egypt-Cairo-Egypt
428,Lab Engineer,Egypt University of Informatics (EUI),New Capital Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/5sp40KEXKIY7-Lab-Engineer-Egypt-University-of-Informatics-EUI-Cairo-Egypt
429,Telesales Representative - Europe & UK Account,Global Travel Association,Nasr City Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/B2aMYrdmmFYB-Telesales-Representative---Europe-UK-Account-Global-Travel-Association-Cairo-Egypt
430,Brand Manager,DalyDress,Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/8KrYDKNlGlRw-Brand-Manager-DalyDress-Cairo-Egypt
431,Medical Representative-Cairo East,Duxcorp,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/vKmkYXVzYA5q-Medical-Representative-Cairo-East-Duxcorp-Cairo-Egypt
432,Local Purchasing Specialist,3Brothers,10th of Ramadan City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/sdMs8TGMqbJO-Local-Purchasing-Specialist-3Brothers-Cairo-Egypt
433,English Teacher (Prep/Secondary Stage),Confidential,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/OmBWypYGrtiN-English-Teacher-PrepSecondary-Stage-Cairo-Egypt
434,Assistant store Manager,Mr. Tailor,Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/kjZdjnUK34s9-Assistant-store-Manager-Mr-Tailor-Cairo-Egypt
435,Junior Sales Engineer,Turbo Egypt Compression,Sheraton Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/zs6mIOw4EgY7-Junior-Sales-Engineer-Turbo-Egypt-Compression-Cairo-Egypt
436,Senior Telesales Agent / Real Estate,Diamond Real Estate Company,Mohandessin Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/eW0SLnJTnM8C-Senior-Telesales-Agent-Real-Estate-Diamond-Real-Estate-Company-Giza-Egypt
437,Outdoor Sales Representative,Scale Office Furniture,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/6yEWAsfpUEHE-Outdoor-Sales-Representative-Scale-Office-Furniture-Cairo-Egypt
438,Senior CRM Executive,KUWADICO,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/tLxGuxEW1Zma-Senior-CRM-Executive-KUWADICO-Giza-Egypt
439,Quality Control / Real Estate,Diamond Real Estate Company,Mohandessin Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/wL6EBvFgVLJs-Quality-Control-Real-Estate-Diamond-Real-Estate-Company-Giza-Egypt
440,Marketing Specialist,Ziarah,Cairo,Egypt,Full Time,Remote,Experienced,https://wuzzuf.net/jobs/p/o2cXvmsf2bW9-Marketing-Specialist-Ziarah-Cairo-Egypt
441,Customer Support Coordinator,Grintahub,Riyadh,Saudi Arabia,Full Time,Remote,Entry Level,https://wuzzuf.net/jobs/p/1UazF02evcPM-Customer-Support-Coordinator-Grintahub-Riyadh-Saudi-Arabia
442,Customer Support - Korean Speaker,Mindpec Solutions,George Town,Malaysia,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/HsvQNlmb6kCn-Customer-Support---Korean-Speaker-Mindpec-Solutions-George-Town-Malaysia
443,Full Stack Developer (.Net Core & Angular 9),JRM for Communications,Nasr City Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/diYJ1d7N74CC-Full-Stack-Developer-Net-Core-Angular-9-JRM-for-Communications-Cairo-Egypt
444,Tour Operator,TRAVCO GROUP,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/1CdoFNOuOCI8-Tour-Operator-TRAVCO-GROUP-Giza-Egypt
445,Network System Administrator,Al Ateeq Software,New Nozha Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Ojhtkn3t2KsI-Network-System-Administrator-Al-Ateeq-Software-Cairo-Egypt
446,HSE Specialist (East Portsaid),Sky logistics,Port Said,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/EmPY92ajEklg-HSE-Specialist-East-Portsaid-Sky-logistics-Port-Said-Egypt
447,Sales Specialist (Travel Market),Real Egypt,Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/e5g2kj60iASd-Sales-Specialist-Travel-Market-Real-Egypt-Cairo-Egypt
448,Quality Supervisor (Manufacturing),OPPO Egypt,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/WL9gBSvzEhjw-Quality-Supervisor-Manufacturing-OPPO-Egypt-Sharqia-Egypt
449,Supply Chain Specialist,Mediterraneo Trading,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/eXgB9TK8LxPO-Supply-Chain-Specialist-Mediterraneo-Trading-Cairo-Egypt
450,IT Technical Support Specialist,Confidential,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/75xLYr6RteI2-IT-Technical-Support-Specialist-Cairo-Egypt
451,Mechanical Maintenance Engineer,Chemipharm,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/zOPFeOj9hi0t-Mechanical-Maintenance-Engineer-Chemipharm-Giza-Egypt
452,Senior Internal Auditor,Misr Elkheir Foundation,Mokattam Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/GIY57spnNls9-Senior-Internal-Auditor-Misr-Elkheir-Foundation-Cairo-Egypt
453,Social Media Specialist,Confidential,New Nozha Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/HykYPzJzpOXV-Social-Media-Specialist-Cairo-Egypt
454,Customer Service Administrator,Tulipe,Abu Rawash Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/XxeTZ7n5ZJGL-Customer-Service-Administrator-Tulipe-Giza-Egypt
455,System Operations and Testing Specialist,Prismatecs,Heliopolis Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/H9nhLqyF1zLt-System-Operations-and-Testing-Specialist-Prismatecs-Cairo-Egypt
456,"Internal Sales Agent (ISA) ""Work from Home""",eXp Realty of California Inc. (The Rafeh Group),Los Angeles,United States,Full Time,Remote,Experienced,https://wuzzuf.net/jobs/p/vH6Sfq64xZBz-Internal-Sales-Agent-ISA-Work-from-Home-eXp-Realty-of-California-Inc-The-Rafeh-Group-Los-Angeles-United-States
